,Country Id,SMS ID,Period Group,Period ID,LAD,Planned  Audit Date,Visit Audit date
0,32,4700038520,3,MONT_1206, 01/21/2022, 01/18/2022, 01/21/2022
1,32,4700001654,3,MONT_1206, 01/07/2022, 01/11/2022, 01/07/2022
2,32,4700044321,3,MONT_1206, 01/12/2022, 01/12/2022, 01/12/2022
3,32,4700003878,3,MONT_1206, 01/14/2022, 01/12/2022, 01/14/2022
4,32,4700002533,3,MONT_1206, 01/04/2022, 01/04/2022, 01/04/2022
5,32,4700047225,3,MONT_1206, 01/20/2022, 01/19/2022, 01/20/2022
6,32,4700003523,3,MONT_1206, 01/07/2022, 01/06/2022, 01/07/2022
7,32,4700002644,3,MONT_1206, 01/14/2022, 01/14/2022, 01/14/2022
8,32,4700034053,3,MONT_1206, 01/10/2022, 01/10/2022, 
9,32,4700024622,3,MONT_1206, 01/07/2022, 01/13/2022, 01/07/2022
10,32,4700046099,3,MONT_1206, 01/31/2022, 01/31/2022, 
12,32,4700008221,3,MONT_1206, 01/17/2022, 01/18/2022, 01/17/2022
13,32,4700010742,3,MONT_1206, 01/10/2022, 01/07/2022, 01/10/2022
14,32,4700026624,3,MONT_1206, 01/06/2022, 01/06/2022, 01/06/2022
15,32,4700004093,3,MONT_1206, 01/26/2022, 01/25/2022, 01/26/2022
16,32,4700003016,3,MONT_1206, 01/05/2022, 01/05/2022, 01/05/2022
18,32,4700022063,3,MONT_1206, 01/24/2022, 01/05/2022, 01/24/2022
19,32,4700035624,3,MONT_1206, 01/04/2022, 01/04/2022, 01/04/2022
20,32,4700003427,3,MONT_1206, 01/07/2022, 01/07/2022, 01/07/2022
21,32,4700048548,3,MONT_1206, 01/10/2022, 01/10/2022, 01/10/2022
22,32,4700023992,3,MONT_1206, 01/25/2022, 01/25/2022, 01/25/2022
23,32,4700030174,3,MONT_1206, 01/05/2022, 01/05/2022, 
24,32,4700020177,3,MONT_1206, 01/17/2022, 01/17/2022, 01/17/2022
25,32,4700044324,3,MONT_1206, 01/12/2022, 01/10/2022, 01/12/2022
26,32,4700034762,3,MONT_1206, 01/05/2022, 01/05/2022, 01/05/2022
27,32,4700039516,3,MONT_1206, 01/06/2022, 01/06/2022, 01/06/2022
28,32,4700029541,3,MONT_1206, 01/04/2022, 01/04/2022, 01/04/2022
29,32,4700032159,3,MONT_1206, 01/06/2022, 01/06/2022, 01/06/2022
30,32,4700041965,3,MONT_1206, 01/04/2022, 01/04/2022, 01/04/2022
31,32,4700012243,3,MONT_1206, 01/13/2022, 01/14/2022, 01/13/2022
32,32,4700023392,3,MONT_1206, 01/14/2022, 01/17/2022, 01/14/2022
33,32,4700007595,3,MONT_1206, 01/13/2022, 01/13/2022, 01/13/2022
34,32,4700002708,3,MONT_1206, 01/20/2022, 01/20/2022, 01/20/2022
35,32,4700008628,3,MONT_1206, 01/24/2022, 01/24/2022, 
36,32,4700032742,3,MONT_1206, 01/17/2022, 01/17/2022, 01/17/2022
37,32,4700033247,3,MONT_1206, 01/04/2022, 01/04/2022, 01/04/2022
38,32,4700048459,3,MONT_1206, 01/18/2022, 01/19/2022, 01/18/2022
39,32,4700014146,3,MONT_1206, 01/19/2022, 01/19/2022, 01/19/2022
40,32,4700028585,3,MONT_1206, 01/11/2022, 01/11/2022, 01/11/2022
41,32,4700033184,3,MONT_1206, 01/14/2022, 01/17/2022, 01/14/2022
42,32,4700008989,3,MONT_1206, 01/18/2022, 01/18/2022, 01/18/2022
43,32,4700032261,3,MONT_1206, 01/18/2022, 01/18/2022, 01/18/2022
44,32,4700008284,3,MONT_1206, 01/20/2022, 01/20/2022, 01/20/2022
45,32,4700004685,3,MONT_1206, 01/17/2022, 01/18/2022, 01/17/2022
