,Country Id,SMS ID,Period Group,Period ID,Planned  Audit Date,Visit Audit date,LAD
0,32,4700028206,3,MONT_1201, 12/14/2021, 12/14/2021, 12/14/2021
1,32,4700020373,3,MONT_1201, 12/16/2021, , 12/16/2021
2,32,4700019952,3,MONT_1201, 12/17/2021, 12/17/2021, 12/17/2021
4,32,4700027030,3,MONT_1201, 12/28/2021, , 12/28/2021
5,32,4700048512,3,MONT_1201, 12/06/2021, 12/07/2021, 12/07/2021
6,32,4700023784,3,MONT_1201, 12/28/2021, , 12/28/2021
7,32,4700023510,3,MONT_1201, 12/01/2021, 12/01/2021, 12/01/2021
8,32,4700004393,3,MONT_1201, 12/15/2021, 12/15/2021, 12/15/2021
12,32,4700039557,3,MONT_1201, 12/14/2021, 12/16/2021, 12/16/2021
13,32,4700028086,1,FOOD_1197, 11/08/2021, 11/11/2021, 11/11/2021
14,32,4700022684,3,MONT_1201, 12/17/2021, 12/20/2021, 12/20/2021
15,32,4700030270,3,MONT_1201, 12/16/2021, 12/13/2021, 12/13/2021
16,32,4700023985,3,MONT_1201, 12/01/2021, 12/01/2021, 12/01/2021
18,32,4700006977,3,MONT_1201, 12/01/2021, 12/01/2021, 12/01/2021
22,32,4700041655,3,MONT_1201, 12/17/2021, 12/17/2021, 12/17/2021
23,32,--99965023,3,MONT_1201, 12/01/2021, , 12/01/2021
26,32,4700048443,3,MONT_1201, 12/09/2021, 12/17/2021, 12/17/2021
27,32,4700044502,3,MONT_1201, 12/13/2021, 12/13/2021, 12/13/2021
30,32,4700034552,3,MONT_1201, 12/01/2021, 12/01/2021, 12/01/2021
31,32,4700047119,3,MONT_1201, 12/16/2021, , 12/16/2021
32,32,4700023967,3,MONT_1201, 12/10/2021, 12/14/2021, 12/14/2021
33,32,4700033520,3,MONT_1201, 12/02/2021, 12/06/2021, 12/06/2021
35,32,4700001527,3,MONT_1201, 12/21/2021, 12/21/2021, 12/21/2021
37,32,4700012889,3,MONT_1201, 12/15/2021, , 12/15/2021
38,32,4700033642,3,MONT_1201, 12/06/2021, 12/06/2021, 12/06/2021
42,32,4700030722,3,MONT_1201, 12/16/2021, 12/16/2021, 12/16/2021
44,32,4700048579,3,MONT_1201, 12/16/2021, 12/16/2021, 12/16/2021
46,32,4700001356,3,MONT_1201, 12/22/2021, 12/22/2021, 12/22/2021
47,32,4700023861,3,MONT_1201, 12/16/2021, , 12/16/2021
48,32,4700002627,1,FOOD_1197, 11/15/2021, 11/17/2021, 11/17/2021
49,32,4700031798,1,FOOD_1197, 11/08/2021, 11/02/2021, 11/02/2021
50,32,4700007013,3,MONT_1201, 12/29/2021, , 12/29/2021
51,32,4700047269,3,MONT_1201, 12/29/2021, , 12/29/2021
52,32,4700047249,3,MONT_1201, 12/16/2021, 12/16/2021, 12/16/2021
55,32,4700003067,3,MONT_1201, 12/03/2021, 12/02/2021, 12/02/2021
56,32,4700017965,3,MONT_1201, 12/15/2021, 12/13/2021, 12/13/2021
60,32,4700013512,3,MONT_1201, 12/21/2021, 12/21/2021, 12/21/2021
61,32,4700028173,3,MONT_1201, 12/16/2021, 12/16/2021, 12/16/2021
62,32,4700043765,3,MONT_1201, 12/06/2021, 12/06/2021, 12/06/2021
65,32,4700019933,3,MONT_1201, 12/03/2021, 12/06/2021, 12/06/2021
70,32,4700005310,3,MONT_1201, 12/15/2021, 12/16/2021, 12/16/2021
72,32,4700005931,1,FOOD_1197, 11/03/2021, 11/03/2021, 11/03/2021
73,32,4700004192,3,MONT_1201, 12/17/2021, 12/17/2021, 12/17/2021
74,32,4700030796,3,MONT_1201, 12/02/2021, 12/03/2021, 12/03/2021
75,32,4700030135,3,MONT_1201, 12/15/2021, 12/16/2021, 12/16/2021
78,32,4700011639,3,MONT_1201, 12/13/2021, 12/13/2021, 12/13/2021
79,32,4700024606,3,MONT_1201, 12/07/2021, 12/13/2021, 12/13/2021
80,32,4700044465,3,MONT_1201, 12/07/2021, , 12/07/2021
81,32,4700047086,3,MONT_1201, 12/16/2021, 12/15/2021, 12/15/2021
84,32,4700015781,3,MONT_1201, 12/29/2021, , 12/29/2021
85,32,4700001564,3,MONT_1201, 12/22/2021, , 12/22/2021
90,32,4700039141,3,MONT_1201, 12/01/2021, 12/01/2021, 12/01/2021
91,32,4700004665,3,MONT_1201, 12/16/2021, 12/20/2021, 12/20/2021
93,32,4700011948,1,FOOD_1197, 11/23/2021, 11/23/2021, 11/23/2021
94,32,4700045616,3,MONT_1201, 12/17/2021, 12/20/2021, 12/20/2021
95,32,4700040503,3,MONT_1201, 12/15/2021, 12/21/2021, 12/21/2021
96,32,4700047141,3,MONT_1201, 12/16/2021, 12/15/2021, 12/15/2021
97,32,4700032854,3,MONT_1201, 12/06/2021, 12/13/2021, 12/13/2021
98,32,4700013092,3,MONT_1201, 12/14/2021, , 12/14/2021
99,32,4700006687,1,FOOD_1197, 11/10/2021, 11/10/2021, 11/10/2021
100,32,4700022814,1,FOOD_1197, 11/08/2021, 11/03/2021, 11/03/2021
101,32,4700047139,3,MONT_1201, 12/07/2021, 12/09/2021, 12/09/2021
102,32,4700046094,3,MONT_1201, 12/13/2021, 12/13/2021, 12/13/2021
103,32,4700012704,3,MONT_1201, 12/28/2021, , 12/28/2021
104,32,4700007885,3,MONT_1201, 12/02/2021, 12/06/2021, 12/06/2021
105,32,4700020349,3,MONT_1201, 12/20/2021, 12/20/2021, 12/20/2021
106,32,4700040384,3,MONT_1201, 12/27/2021, , 12/27/2021
107,32,4700044342,3,MONT_1201, 12/03/2021, 12/03/2021, 12/03/2021
108,32,4700045636,3,MONT_1201, 12/21/2021, 12/20/2021, 12/20/2021
